Date,Year,Month,Arson,Assault,Burglary,Homicide,Motor Vehicle Theft,Sexual Assault,Robbery,Total
20-Jan,2020,Jan,9,210,140,4,117,30,106,616
20-Feb,2020,Feb,9,194,153,3,114,23,81,577
20-Mar,2020,Mar,8,270,165,2,113,21,77,656
20-Apr,2020,Apr,6,165,124,2,137,14,42,490
20-May,2020,May,5,229,160,4,102,23,43,566
20-Jun,2020,June,10,223,133,3,103,23,56,551
20-Jul,2020,July,6,294,156,2,145,32,72,707
20-Aug,2020,Aug,7,210,104,4,126,35,83,569
20-Sep,2020,Sept,7,198,161,0,61,32,93,552
20-Oct,2020,Oct,6,85,144,3,131,45,67,481
20-Nov,2020,Nov,8,107,155,3,89,38,72,472
20-Dec,2020,Dec,8,374,170,3,103,28,85,771
21-Jan,2021,Jan,4,767,110,3,72,35,51,1042
21-Feb,2021,Feb,6,725,97,8,75,31,50,992
21-Mar,2021,Mar,13,839,84,8,102,41,40,1127
21-Apr,2021,Apr,10,856,110,0,106,41,48,1171
21-May,2021,May,12,1021,126,4,129,39,63,1394
21-Jun,2021,Jun,15,934,112,3,100,43,57,1264
21-Jul,2021,Jul,20,957,132,5,104,47,61,1326
21-Aug,2021,Aug,9,935,134,3,95,43,53,1272
21-Sep,2021,Sep,6,1066,130,2,108,33,63,1408
21-Oct,2021,Oct,5,540,60,2,51,32,46,736
