date,Year,Month,labor force,employment,unemployment,unemployment rate
Jan-20,2020,Jan,1532953,1477605,55348,3.6
Feb-20,2020,Feb,1535255,1482526,52729,3.4
Mar-20,2020,Mar,1533411,1474464,58947,3.8
Apr-20,2020,Apr,1448348,1318542,129806,9
May-20,2020,May,1459365,1325728,133637,9.2
Jun-20,2020,Jun,1521617,1394920,126697,8.3
Jul-20,2020,Jul,1484824,1358284,126540,8.5
Aug-20,2020,Aug,1474764,1354296,120468,8.2
Sep-20,2020,Sep,1399614,1307748,91866,6.6
Oct-20,2020,Oct,1453319,1365522,87797,6
Nov-20,2020,Nov,1461939,1372626,89313,6.1
Dec-20,2020,Dec,1459168,1367956,91212,6.3
Jan-21,2021,Jan,1444167,1355942,88225,6.1
Feb-21,2021,Feb,1443703,1359155,84548,5.9
Mar-21,2021,Mar,1456087,1372189,83898,5.8
Apr-21,2021,Apr,1457183,1376905,80278,5.5
May-21,2021,May,1459544,1378420,81124,5.6
Jun-21,2021,Jun,1480973,1386858,94115,6.4
Jul-21,2021,Jul,1492228,1412045,80183,5.4
Aug-21,2021,Aug,1473713,1394188,79525,5.4
Sep-21,2021,Sep,1462418,1385138,77280,5.3
